酒名英文字段,酒名中文字段,年份字段,单价字段,散支字段,官网链接,供货商,供货商代码,上传时间
Chateau Latour,拉图,1997.0,3800.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Chateau Latour,拉图,1997.0,3800.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Chateau Pichon Lalande,女爵,1996.0,2400.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Chateau Pichon Lalande (soiled label),女爵 (污标),1996.0,2400.0,9,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Chateau Pichon Lalande (soiled label),女爵 (污标),1996.0,2400.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Chateau Lafleur (owc),花庄 (原箱),1994.0,4100.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Petrus,柏翠,1990.0,29300.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Trilogie Le Pin 07.08,里鹏 副牌 07.08,,2400.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Chateau d'Yquem,滴金,1987.0,2900.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Bourgogne Blanc, Coche Dury",科奇. 大区 干白,2008.0,2500.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Bourgogne Pinot Fin, Arnoux Lachaux",安慕拉夏. 大区 Pinot Fin,2018.0,1800.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Bourgogne Pinot Fin, Arnoux Lachaux",安慕拉夏. 大区 Pinot Fin,2012.0,750.0,9,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Bourgogne Rouge, Jean Marie Fourrier",芙丽耶. 大区 干红,2019.0,500.0,14,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Bonnes Mares, Georges Roumier",乔治 卢米. 博马尔,2013.0,9700.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Bonnes Mares, Georges Roumier",乔治 卢米. 博马尔,2008.0,9900.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chambolle Musigny 1er Les Fuees, Perrot Minot",Perrot Minot. 香波木西尼 一级园 Les Fuees,2017.0,2300.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chambolle Musigny VV, Thibault Liger Belair",帝波. 香波木西尼 老藤,2017.0,750.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chambolle Musigny, Georges Roumier",乔治 卢米. 香波木西尼 村酒,2019.0,3200.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chambolle Musigny, Georges Roumier",乔治 卢米. 香波木西尼 村酒,2016.0,3300.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Musigny GC, Jacques Frederic Mugnier",木尼艾. 木西尼,2017.0,19200.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chassagne Montrachet 1er Les Caillerets, Joseph Colin",Joseph Colin. 夏沙尼蒙哈榭 一级园 Les Caillerets,2017.0,1000.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chassagne Montrachet 1er Les Grandes Ruchottes, Paul Pillot",保罗 皮诺. 夏沙尼蒙哈榭 一级园 Grandes Ruchottes,2015.0,2600.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
