酒名英文字段,年份字段,单价字段,散支字段,整箱字段,整箱规格字段,净含量字段,官网链接,供货商,供货商代码,上传时间
Cristal - Louis Roederer (Magnum) 2009,2009.0,4163,0,1,1,1500,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 1999,1999.0,3192,1,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 1999,1999.0,0,1,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2004,2004.0,2220,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2008,2008.0,2313,5,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2008 Gift Box,2008.0,2405,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2012,2012.0,1850,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2012,2012.0,0,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2012,2012.0,0,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2014,2014.0,1712,0,4,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2014,2014.0,0,0,4,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Cristal - Louis Roederer 2015 Gift Box,2015.0,1758,3,3,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Delamotte blanc de blanc 2012,2012.0,694,2,3,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 1998 (Gift Box),1998.0,2313,5,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 2002,2002.0,1897,1,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 2006 (Gift Box),2006.0,1434,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 2008,2008.0,1665,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 2008,2008.0,1665,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 2008,2008.0,0,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 2010,2010.0,1342,0,4,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 2012,2012.0,1249,0,6,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon 2012,2012.0,1249,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon Oenotheque (gift box) Brut Millesime 1996,1996.0,0,0,6,1,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon Oenotheque Brut Millesime 1993,1993.0,5550,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon Oenotheque Brut Millesime 1995,1995.0,4302,0,1,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon Oenotheque Brut Millesime 1996,1996.0,4070,0,6,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
