酒名英文字段,年份字段,单价字段,散支字段,整箱规格字段,净含量字段,官网链接,供货商,供货商代码,上传时间
Aladame Montagny 1er Cru Decouverte 2021,2021,235,57,OC12,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Aladame Cremant de Bourgogne Brut NV,NV,140,7,OC12,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Aladame Cremant de Bourgogne Brut NV,NV,140,2,OC12,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Albert Ponchon Pommard Epenots 1945 (Ex-Zaffaroni),1945,9900,1,OC12,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Almaviva 2017,2017,1390,12,OWC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Almaviva 2018,2018,1290,12,OWC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Almaviva 2019,2019,1190,17,OWC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Almaviva 2020,2020,1190,13,OWC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Alphonse Mellot Sancerre La Moussiere Blanc 2022,2022,290,60+,OC12,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Alphonse Mellot Sancerre Generation XIX Blanc 2017,2017,595,5,OC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Alphonse Mellot Sancerre Generation XIX Blanc 2018,2018,695,44,OC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Alphonse Mellot Sancerre La Moussiere Rouge 2020,2020,450,25,OC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Altesino Brunello di Montalcino 2018,2018,365,21,OC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Altesino Brunello di Montalcino 2018,2018,365,60+,OC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Altesino Brunello di Montalcino Montosoli 2012,2012,690,2,OC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Altesino Brunello di Montalcino Montosoli 2017,2017,690,11,OC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
Altesino Brunello di Montalcino Riserva 2015,2015,595,8,OC6,750ML,https://www.altayawines.com/gb_index.php,ALTAYA WINES (004),004,2025-04-13 13:20:18
